============ generation 0 ===============
0 {'chromosome': '0100000101000100', 'fitness': 4}
1 {'chromosome': '0100000101100101', 'fitness': 4}
2 {'chromosome': '1001110100000101', 'fitness': 5}
3 {'chromosome': '0000100101011001', 'fitness': 6}
4 {'chromosome': '1111010001110000', 'fitness': 6}
5 {'chromosome': '1101011110000111', 'fitness': 6}
6 {'chromosome': '1110011100000101', 'fitness': 6}
7 {'chromosome': '0110000111111001', 'fitness': 7}
8 {'chromosome': '0111000000100100', 'fitness': 7}
9 {'chromosome': '1110011110110101', 'fitness': 7}
10 {'chromosome': '1110011100001101', 'fitness': 7}
11 {'chromosome': '1000010100000110', 'fitness': 7}
12 {'chromosome': '1010011100010001', 'fitness': 7}
13 {'chromosome': '0110100001110001', 'fitness': 7}
14 {'chromosome': '0110100111011100', 'fitness': 7}
15 {'chromosome': '0010011011110101', 'fitness': 7}
16 {'chromosome': '1011010010010001', 'fitness': 7}
17 {'chromosome': '1001110100100111', 'fitness': 7}
18 {'chromosome': '0100001001111100', 'fitness': 7}
19 {'chromosome': '0101010000100010', 'fitness': 7}
20 {'chromosome': '1110010010010001', 'fitness': 7}
21 {'chromosome': '1110100001001101', 'fitness': 8}
22 {'chromosome': '1100000000000110', 'fitness': 8}
23 {'chromosome': '1110000110010110', 'fitness': 8}
24 {'chromosome': '1111110000011011', 'fitness': 8}
25 {'chromosome': '1110000101001110', 'fitness': 8}
26 {'chromosome': '1100000001100000', 'fitness': 8}
27 {'chromosome': '1000000110110001', 'fitness': 8}
28 {'chromosome': '0111001100001011', 'fitness': 8}
29 {'chromosome': '0110011100001110', 'fitness': 8}
30 {'chromosome': '1111011110000110', 'fitness': 8}
31 {'chromosome': '0111010010101110', 'fitness': 9}
32 {'chromosome': '1010000110010110', 'fitness': 9}
33 {'chromosome': '0110101000110100', 'fitness': 9}
34 {'chromosome': '0110100111001110', 'fitness': 9}
35 {'chromosome': '1000000100001000', 'fitness': 9}
36 {'chromosome': '1110011100001110', 'fitness': 9}
37 {'chromosome': '1010001100000111', 'fitness': 9}
38 {'chromosome': '1110100000000111', 'fitness': 9}
39 {'chromosome': '1110011001000010', 'fitness': 9}
40 {'chromosome': '1000000011111001', 'fitness': 9}
41 {'chromosome': '1011010000100110', 'fitness': 9}
42 {'chromosome': '0110101000110100', 'fitness': 9}
43 {'chromosome': '0111010010101011', 'fitness': 9}
44 {'chromosome': '1110100100100111', 'fitness': 9}
45 {'chromosome': '1000000111100011', 'fitness': 9}
46 {'chromosome': '1010010101001010', 'fitness': 9}
47 {'chromosome': '0110100001100011', 'fitness': 9}
48 {'chromosome': '1011000101001010', 'fitness': 9}
49 {'chromosome': '1100000001100010', 'fitness': 9}
50 {'chromosome': '0011100000101101', 'fitness': 9}
51 {'chromosome': '1110000101001010', 'fitness': 9}
52 {'chromosome': '0000001111111110', 'fitness': 9}
53 {'chromosome': '1100000000001011', 'fitness': 9}
54 {'chromosome': '0110110010111111', 'fitness': 9}
55 {'chromosome': '0110001100001011', 'fitness': 9}
56 {'chromosome': '1111100000101101', 'fitness': 9}
57 {'chromosome': '1110011110010010', 'fitness': 9}
58 {'chromosome': '1011010000001000', 'fitness': 9}
59 {'chromosome': '1011111111001100', 'fitness': 9}
60 {'chromosome': '0001011010110010', 'fitness': 9}
61 {'chromosome': '1110000111001110', 'fitness': 9}
62 {'chromosome': '0010111110110011', 'fitness': 10}
63 {'chromosome': '1010001100111001', 'fitness': 10}
64 {'chromosome': '1110101000110100', 'fitness': 10}
65 {'chromosome': '0110100000001000', 'fitness': 10}
66 {'chromosome': '0100000110101010', 'fitness': 10}
67 {'chromosome': '1010000001000010', 'fitness': 10}
68 {'chromosome': '1101101101101010', 'fitness': 10}
69 {'chromosome': '1101101101101010', 'fitness': 10}
70 {'chromosome': '1010010100100010', 'fitness': 10}
71 {'chromosome': '1111111011101001', 'fitness': 10}
72 {'chromosome': '1010000110001100', 'fitness': 10}
73 {'chromosome': '0000111010000110', 'fitness': 10}
74 {'chromosome': '1110100010010011', 'fitness': 10}
75 {'chromosome': '1110000111001010', 'fitness': 10}
76 {'chromosome': '1111111011100110', 'fitness': 10}
77 {'chromosome': '0010111111111000', 'fitness': 10}
78 {'chromosome': '1110011110111110', 'fitness': 10}
79 {'chromosome': '1000011010000110', 'fitness': 10}
80 {'chromosome': '1110011000111000', 'fitness': 10}
81 {'chromosome': '0000111110111110', 'fitness': 10}
82 {'chromosome': '1100111110110010', 'fitness': 10}
83 {'chromosome': '1110100010011110', 'fitness': 11}
84 {'chromosome': '1011100010010010', 'fitness': 11}
85 {'chromosome': '1001111110111010', 'fitness': 11}
86 {'chromosome': '1010101110000001', 'fitness': 11}
87 {'chromosome': '1011101010000100', 'fitness': 11}
88 {'chromosome': '1111100010111110', 'fitness': 11}
89 {'chromosome': '1001101101101010', 'fitness': 11}
90 {'chromosome': '1010001100001110', 'fitness': 11}
91 {'chromosome': '1111100010111110', 'fitness': 11}
92 {'chromosome': '0000101000111000', 'fitness': 11}
93 {'chromosome': '0010101010000100', 'fitness': 11}
94 {'chromosome': '1010000000100110', 'fitness': 11}
95 {'chromosome': '1010000010010010', 'fitness': 11}
96 {'chromosome': '0110110010101010', 'fitness': 12}
97 {'chromosome': '1001101110111010', 'fitness': 12}
98 {'chromosome': '1010111110110010', 'fitness': 12}
99 {'chromosome': '1010000110101010', 'fitness': 13}
============ generation 1 ===============
0 {'chromosome': '1010010100010001', 'fitness': 6}
1 {'chromosome': '1110000101001101', 'fitness': 6}
2 {'chromosome': '1011010000010011', 'fitness': 7}
3 {'chromosome': '1000000100001101', 'fitness': 7}
4 {'chromosome': '1001110100100111', 'fitness': 7}
5 {'chromosome': '1111000110001100', 'fitness': 8}
6 {'chromosome': '0110001100010010', 'fitness': 8}
7 {'chromosome': '0110100000000100', 'fitness': 8}
8 {'chromosome': '0110000110001100', 'fitness': 8}
9 {'chromosome': '1011000101001000', 'fitness': 8}
10 {'chromosome': '1111011110000110', 'fitness': 8}
11 {'chromosome': '1000000100001100', 'fitness': 8}
12 {'chromosome': '1110010010010000', 'fitness': 8}
13 {'chromosome': '1111010000001000', 'fitness': 8}
14 {'chromosome': '1001110100100110', 'fitness': 8}
15 {'chromosome': '1100000000000110', 'fitness': 8}
16 {'chromosome': '1110000101000010', 'fitness': 8}
17 {'chromosome': '0010010101001010', 'fitness': 8}
18 {'chromosome': '1100000100001000', 'fitness': 8}
19 {'chromosome': '0110110000111001', 'fitness': 8}
20 {'chromosome': '1100111110000110', 'fitness': 9}
21 {'chromosome': '1000000011111001', 'fitness': 9}
22 {'chromosome': '0000100000000011', 'fitness': 9}
23 {'chromosome': '0110100001001110', 'fitness': 9}
24 {'chromosome': '0110110100100010', 'fitness': 9}
25 {'chromosome': '1000011010000111', 'fitness': 9}
26 {'chromosome': '1110011110110000', 'fitness': 9}
27 {'chromosome': '1110100100000110', 'fitness': 9}
28 {'chromosome': '1111100000101101', 'fitness': 9}
29 {'chromosome': '0110110010010010', 'fitness': 9}
30 {'chromosome': '1011000010010011', 'fitness': 9}
31 {'chromosome': '1100000000001011', 'fitness': 9}
32 {'chromosome': '0111001110110010', 'fitness': 9}
33 {'chromosome': '1110010010010010', 'fitness': 9}
34 {'chromosome': '1110000111001110', 'fitness': 9}
35 {'chromosome': '0010000001000010', 'fitness': 9}
36 {'chromosome': '1111100000101101', 'fitness': 9}
37 {'chromosome': '1000000100001000', 'fitness': 9}
38 {'chromosome': '1110000011111001', 'fitness': 9}
39 {'chromosome': '0110110100100010', 'fitness': 9}
40 {'chromosome': '1111111011101101', 'fitness': 9}
41 {'chromosome': '1110011110111100', 'fitness': 9}
42 {'chromosome': '0011100100001000', 'fitness': 9}
43 {'chromosome': '1111111001001110', 'fitness': 9}
44 {'chromosome': '1011111111001100', 'fitness': 9}
45 {'chromosome': '1101101101001010', 'fitness': 9}
46 {'chromosome': '1111010010101110', 'fitness': 10}
47 {'chromosome': '1110011110111110', 'fitness': 10}
48 {'chromosome': '1010001100111001', 'fitness': 10}
49 {'chromosome': '1011101000110100', 'fitness': 10}
50 {'chromosome': '0000100111001010', 'fitness': 10}
51 {'chromosome': '1011100000101101', 'fitness': 10}
52 {'chromosome': '1110011000111000', 'fitness': 10}
53 {'chromosome': '1010001100100100', 'fitness': 10}
54 {'chromosome': '1110101000110100', 'fitness': 10}
55 {'chromosome': '1010011110010010', 'fitness': 10}
56 {'chromosome': '0111100010111110', 'fitness': 10}
57 {'chromosome': '1010100100100111', 'fitness': 10}
58 {'chromosome': '1110000110110010', 'fitness': 10}
59 {'chromosome': '1110011110111110', 'fitness': 10}
60 {'chromosome': '1111111011101001', 'fitness': 10}
61 {'chromosome': '1110101110000001', 'fitness': 10}
62 {'chromosome': '1111111011100110', 'fitness': 10}
63 {'chromosome': '1110011110111110', 'fitness': 10}
64 {'chromosome': '1110101000110001', 'fitness': 10}
65 {'chromosome': '0000111110111110', 'fitness': 10}
66 {'chromosome': '1110000111001010', 'fitness': 10}
67 {'chromosome': '0110101110110011', 'fitness': 10}
68 {'chromosome': '1011101010000100', 'fitness': 11}
69 {'chromosome': '1011010000101010', 'fitness': 11}
70 {'chromosome': '1010000000100110', 'fitness': 11}
71 {'chromosome': '1010000000100110', 'fitness': 11}
72 {'chromosome': '1011101100001011', 'fitness': 11}
73 {'chromosome': '1100111110100010', 'fitness': 11}
74 {'chromosome': '0110100010111110', 'fitness': 11}
75 {'chromosome': '1010000000100110', 'fitness': 11}
76 {'chromosome': '0110101110110010', 'fitness': 11}
77 {'chromosome': '0010010010101011', 'fitness': 11}
78 {'chromosome': '1011101100001011', 'fitness': 11}
79 {'chromosome': '1010001011111001', 'fitness': 11}
80 {'chromosome': '1011011010110010', 'fitness': 11}
81 {'chromosome': '1010001100111110', 'fitness': 11}
82 {'chromosome': '0110100111101010', 'fitness': 11}
83 {'chromosome': '1110111110110010', 'fitness': 11}
84 {'chromosome': '1010101000110100', 'fitness': 11}
85 {'chromosome': '0010101010000100', 'fitness': 11}
86 {'chromosome': '0010101010001101', 'fitness': 11}
87 {'chromosome': '1011100010010010', 'fitness': 11}
88 {'chromosome': '0010101010000100', 'fitness': 11}
89 {'chromosome': '1010000000111000', 'fitness': 11}
90 {'chromosome': '1110100010011010', 'fitness': 12}
91 {'chromosome': '1010000110101011', 'fitness': 12}
92 {'chromosome': '1010001000100110', 'fitness': 12}
93 {'chromosome': '1111111011101010', 'fitness': 12}
94 {'chromosome': '1110000110101010', 'fitness': 12}
95 {'chromosome': '1011101010000110', 'fitness': 12}
96 {'chromosome': '1110010010101010', 'fitness': 12}
97 {'chromosome': '1001111110101010', 'fitness': 12}
98 {'chromosome': '1010111110110010', 'fitness': 12}
99 {'chromosome': '1010000010111110', 'fitness': 12}
============ generation 2 ===============
0 {'chromosome': '1011010000010011', 'fitness': 7}
1 {'chromosome': '1100000100100111', 'fitness': 7}
2 {'chromosome': '1110000100110100', 'fitness': 7}
3 {'chromosome': '1110000011110001', 'fitness': 8}
4 {'chromosome': '1011111111001101', 'fitness': 8}
5 {'chromosome': '0110110010000100', 'fitness': 8}
6 {'chromosome': '0010010010010000', 'fitness': 8}
7 {'chromosome': '1001111111001100', 'fitness': 8}
8 {'chromosome': '0110110100100110', 'fitness': 8}
9 {'chromosome': '1110000100001100', 'fitness': 8}
10 {'chromosome': '1110010010010000', 'fitness': 8}
11 {'chromosome': '1111111000110001', 'fitness': 8}
12 {'chromosome': '0111100010001101', 'fitness': 8}
13 {'chromosome': '1111010010100100', 'fitness': 8}
14 {'chromosome': '1110100100000001', 'fitness': 8}
15 {'chromosome': '0011111001001110', 'fitness': 9}
16 {'chromosome': '0110110100100010', 'fitness': 9}
17 {'chromosome': '0000100110000110', 'fitness': 9}
18 {'chromosome': '1110000100100110', 'fitness': 9}
19 {'chromosome': '1010100100100101', 'fitness': 9}
20 {'chromosome': '1011010000101001', 'fitness': 9}
21 {'chromosome': '0000100000000110', 'fitness': 9}
22 {'chromosome': '0110100000000011', 'fitness': 9}
23 {'chromosome': '0010001100111001', 'fitness': 9}
24 {'chromosome': '1001110100101110', 'fitness': 9}
25 {'chromosome': '1111111001000010', 'fitness': 9}
26 {'chromosome': '1010000110110001', 'fitness': 9}
27 {'chromosome': '1110001000110001', 'fitness': 9}
28 {'chromosome': '0010010000100110', 'fitness': 9}
29 {'chromosome': '1010000110111001', 'fitness': 10}
30 {'chromosome': '1101100111101010', 'fitness': 10}
